"Series_A","Series_B","Radius_A","Radius_B","overlap","r","r_wuchs","t","t_wuchs","SGC","SSGC","p","sum_sims"
"065169","068034","A","0",106,0.56445191,0.60957174,7.00684367,7.84179897,0.73333333,0.08571429,1.7364e-06,2.127084967
"065169","068089","A","Q",93,0.19173636,0.51330247,1.87383689,5.70560371,0.70652174,0.04347826,7.4395e-05,1.790384581
"068002","WS30001","0","1",83,0.462786,0.56417469,4.72740798,6.14974709,0.73170732,0.03658537,2.71194e-05,1.910856719
"068002","WS30002","B","1",113,0.34339197,0.50839471,3.86940935,6.22009105,0.72321429,0.00892857,2.3062e-06,1.853618105
"068004","195014","A","A",51,0.0205696,0.58171946,0.14547982,5.00625628,0.82,0,6.0258e-06,1.902345088
"068004","ELT2003","A","1",103,0.04995498,0.52479617,0.50515126,6.19591541,0.73529412,0,2.0071e-06,1.879681831
"068004","IJS0003","C","0",51,-0.10931993,0.58382871,-0.77766954,5.03376953,0.78,0,7.50132e-05,1.867205663
"068004","VFH0054","A","Q",90,0.23683787,0.5584783,2.29975382,6.31569614,0.75280899,0,1.8423e-06,1.942856904
"068005","068007","E","B",131,0.88686115,0.6617512,21.88524753,10.02509426,0.70769231,0.08461538,2.1786e-06,2.371952936
"068005","068065","B","0",78,0.59650519,0.5360406,6.52161933,5.53558017,0.74025974,0.02597403,2.48078e-05,1.829858357
"068005","NOVY131","A","T",70,0.44972575,0.5121053,4.18253692,4.91654087,0.73913043,0.02898551,7.10526e-05,1.742889817
"068005","VAL0014","D","1",68,0.29660724,0.6161093,2.54223668,6.35463444,0.74626866,0,5.54004e-05,1.997841404
"068007","068005","B","E",131,0.88686115,0.6617512,21.88524753,10.02509426,0.70769231,0.08461538,2.1786e-06,2.371952936
"068008","068062","0","0",142,0.95561559,0.80783176,38.51552325,16.21679866,0.82978723,0.0141844,0,3.259298856
"068008","068074","0","B",102,-0.18590641,0.51580162,-1.90148396,6.02073965,0.76237624,0,1.337e-07,1.880251825
"068008","068087","B","Q",77,0.51367245,0.62445902,5.219305,6.9239118,0.76315789,0.01315789,4.4684e-06,2.08000809
"068009","VFH0024","B","0",106,0.47081071,0.66975262,5.46835968,9.19782906,0.7047619,0.01904762,2.71227e-05,2.294297426
"068015","068085","C","0",59,0.62157858,0.59476921,6.04300817,5.58580488,0.81034483,0,2.2783e-06,1.963694528
"068015","068094","B","0",65,0.42392037,0.52470294,3.74446828,4.89224939,0.765625,0.015625,2.13771e-05,1.779552879
"068015","068096","B","A",62,0.54395828,0.51455289,5.06302928,4.64828191,0.7704918,0,2.38711e-05,1.749872881
"068022","068026","A","B",64,0.36282368,0.69319177,3.09041102,7.57290768,0.74603175,0.04761905,9.39791e-05,2.196514288
"068022","068035","C","B",66,0.43477077,0.6668449,3.892364,7.15886201,0.81538462,0.03076923,3.668e-07,2.198115721
"068022","068045","C","B",67,0.33130471,0.58147559,2.85263827,5.76230868,0.74242424,0.01515152,8.18466e-05,1.900130698
"068022","068050","0","0",105,0.14585073,0.58045955,1.50346858,7.23455732,0.72115385,0,6.4623e-06,2.025069132
"068022","068061","0","B",102,0.16237461,0.54249383,1.65379181,6.45780025,0.7029703,0.00990099,4.51031e-05,1.891244155
"068022","068067","C","B",82,0.2929748,0.56901711,2.75778436,6.18908522,0.74074074,0.03703704,1.46868e-05,1.928666372
"068022","068072","0","A",107,0.47289707,0.60751818,5.52567893,7.8372953,0.74528302,0.00943396,4.402e-07,2.13653073
"068022","068074","0","0",102,0.10833417,0.51976165,1.09519064,6.08398412,0.73267327,0,2.9156e-06,1.860833332
"068022","068078","A","E",60,0.17348008,0.61925246,1.35304142,6.0062845,0.77966102,0.01694915,1.73724e-05,1.99954193
"068022","068086","C","A",100,0.23498303,0.59372029,2.40540418,7.30426156,0.70707071,0.03030303,3.77797e-05,2.031217156
"068022","068087","0","D",100,0.55626047,0.53036345,6.66025092,6.19310419,0.73737374,0.01010101,2.3162e-06,1.887047609
"068022","068099","0","C",122,0.13438846,0.53884985,1.4918056,7.00711248,0.70247934,0.01652893,8.4071e-06,1.942040438
"068022","068115","0","A",126,0.48107879,0.55032636,6.13523818,7.33957441,0.712,0.016,2.1323e-06,1.996283801
"068022","BHC0059","C","1",95,0.09926135,0.50512865,0.96715087,5.64430544,0.72340426,0.03191489,1.47782e-05,1.792963454
"068022","ELT0003","C","2",71,0.06821041,0.66544298,0.57202153,7.40517683,0.78571429,0.04285714,1.745e-06,2.191674953
"068023","VFH0035","B","0",107,0.66609959,0.61871087,9.19460637,8.06994441,0.72641509,0.05660377,3.1289e-06,2.152120401
"068024","068029","A","A",104,0.88776975,0.66511879,19.57444603,8.99562404,0.7184466,0.03883495,9.2508e-06,2.283127794
"068024","068035","A","B",66,0.24498312,0.63820895,2.03719586,6.63192064,0.75384615,0.01538462,4.25559e-05,2.055247164
"068024","068036","0","B",51,0.73672047,0.69420359,7.70396375,6.7512766,0.78,0.02,7.50132e-05,2.14933125
"068024","068044","0","0",125,0.75716981,0.72885154,12.90761258,11.80617466,0.71774194,0.0483871,1.2387e-06,2.627210946
"068024","068067","0","0",103,0.62250311,0.73904112,8.03326611,11.02524696,0.71568627,0.05882353,1.32069e-05,2.557252086
"068024","068070","0","A",104,0.67270576,0.74297732,9.22709084,11.21099236,0.74757282,0.03883495,5.03e-07,2.611649376
"068024","068072","A","A",82,0.44020791,0.64897214,4.41239489,7.62945641,0.72839506,0.03703704,3.9376e-05,2.140312841
"068024","068074","A","0",102,0.73012246,0.60907342,10.73827701,7.67952073,0.7029703,0.01980198,4.51031e-05,2.079995793
"068024","068078","0","0",100,0.72434179,0.66038973,10.45355475,8.70598522,0.73737374,0.04040404,2.3162e-06,2.268361992
"068024","068081","A","E",123,0.76946331,0.63573983,13.30690402,9.05960269,0.7295082,0.03278689,3.978e-07,2.271208299
"068024","ELT0003","A","2",77,0.1117768,0.53674848,0.98059264,5.5092392,0.72368421,0.02631579,9.61659e-05,1.81135661
"068024","ELT0005","0","0",56,0.59959517,0.51394181,5.55628829,4.40262919,0.76363636,0,9.2159e-05,1.717841089
"068024","ELT0006","A","2",99,0.45909547,0.55256576,5.11580385,6.52950448,0.75510204,0.01020408,4.4e-07,1.960618248
"068024","ELT0009","A","1",107,0.69503702,0.57478147,9.95285579,7.19749157,0.74528302,0.01886792,4.402e-07,2.039813647
"068024","ELT2001","A","2",99,0.62869718,0.52448717,8.00332139,6.06705214,0.74489796,0.02040816,1.2425e-06,1.876090344
"068024","ELT2002","A","1",105,0.57888303,0.52241463,7.23987611,6.2178746,0.72115385,0.01923077,6.4623e-06,1.86535594
"068024","ELT2004","A","1",79,0.70952708,0.62924033,8.89253238,7.10432945,0.74358974,0.02564103,1.68765e-05,2.083263015
"068024","VDMW201","0","3",87,0.29102757,0.52591629,2.82098593,5.70076607,0.72093023,0.02325581,4.17374e-05,1.816923127
"068025","VEND048","B","T",55,-0.03493833,0.54169426,-0.25690008,4.69153968,0.7962963,0,1.33281e-05,1.807144528
"068026","068022","B","A",64,0.36282368,0.69319177,3.09041102,7.57290768,0.74603175,0.04761905,9.39791e-05,2.196514288
"068026","068062","0","A",74,0.02638431,0.7140524,0.22550615,8.65448149,0.78082192,0.06849315,1.5971e-06,2.360322469
"068026","068124","B","B",58,0.35506373,0.54622263,2.86751357,4.87984777,0.77192982,0.03508772,4.02482e-05,1.806137227
"068026","068142","B","C",64,0.70080677,0.54340148,7.79767624,5.09694516,0.74603175,0.04761905,9.39791e-05,1.799127746
"068029","068024","A","A",104,0.88776975,0.66511879,19.57444603,8.99562404,0.7184466,0.03883495,9.2508e-06,2.283127794
"068029","068036","0","0",55,0.57882521,0.80619718,5.21610238,9.9201122,0.7962963,0,1.33281e-05,2.5945047
"068029","068044","A","0",97,0.77926427,0.77118693,12.18326916,11.80725242,0.72916667,0.05208333,7.0979e-06,2.681078842
"068029","068067","A","0",75,0.65857155,0.77322999,7.52838582,10.41825003,0.78378378,0.04054054,1.048e-06,2.598838773
"068029","068070","A","0",76,0.72004638,0.78006819,8.9862392,10.72472296,0.77333333,0.06666667,2.1984e-06,2.625873816
"068029","068074","0","0",75,0.79004424,0.5933949,11.08591372,6.29878977,0.72972973,0.01351351,7.73649e-05,1.953003607
"068029","068078","A","0",75,0.79623496,0.77289871,11.32167534,10.40716046,0.78378378,0.02702703,1.048e-06,2.597398536
"068029","068081","A","E",99,0.82055931,0.69026579,14.21216151,9.39572123,0.74489796,0.05102041,1.2425e-06,2.374735873
"068029","BHO0002","B","2",58,0.48040841,0.54110007,4.13548267,4.81500993,0.78947368,0.01754386,1.23703e-05,1.812074743
"068029","ELT0006","0","2",92,0.62148199,0.5404094,7.56745602,6.09313073,0.73626374,0.01098901,6.5557e-06,1.885986213
"068029","ELT0008","0","0",80,0.75189911,0.62100562,10.13688246,6.99735954,0.75949367,0.01265823,3.9717e-06,2.080235244
